transaction_id,customer_id,transaction_date,category,amount,payment_method
518597146899,18806,2024-04-24,Beauty,281.09,Debit Card
745148340641,27870,2024-12-05,Home,468.62,PayPal
115359919924,24755,2024-11-12,Electronics,217.87,Credit Card
228254821255,46457,2024-07-31,Electronics,363.16,Debit Card
185446378266,26992,2024-09-18,Electronics,16.07,UPI
242974820538,33830,2024-09-14,Books,11.51,UPI
484076538078,88810,2024-06-10,Clothing,241.06,Credit Card
926257938494,16898,2024-10-04,Books,223.29,UPI
279543738331,22933,2024-08-18,Home,124.07,Credit Card
299485548063,13086,2024-04-18,Books,427.46,PayPal
934392753315,22462,2024-03-01,Electronics,367.84,UPI
676215095534,23055,2024-08-27,Books,383.19,PayPal
305527391582,24755,2024-01-24,Home,266.11,UPI
314160544432,83352,2024-03-06,Books,105.22,Debit Card
257964811989,61417,2024-01-02,Beauty,262.16,UPI
127022654595,16160,2024-07-21,Clothing,100.15,Credit Card
172800481147,18087,2024-05-29,Home,357.96,PayPal
182282274369,32445,2024-03-27,Books,398.47,UPI
252270540217,14882,2024-10-15,Clothing,416.88,Debit Card
642698727564,27454,2024-02-22,Home,447.33,UPI
821319937844,17698,2024-10-15,Electronics,361.58,Credit Card
985593746109,16157,2024-05-02,Beauty,358.12,Debit Card
251590926930,27961,2024-01-12,Books,473.09,Debit Card
238682346391,61162,2024-07-20,Beauty,126.41,UPI
165706468866,32991,2024-01-12,Clothing,211.41,Credit Card
132887529853,10556,2024-10-12,Clothing,232.11,Credit Card
143507167071,86025,2024-07-05,Beauty,47.75,UPI
241344713566,26270,2024-08-26,Beauty,344.65,UPI
576225056248,25187,2024-03-03,Books,220.45,Credit Card
450921139226,17224,2024-08-14,Books,123.36,PayPal
273709443493,29000,2024-07-11,Home,446.03,Credit Card
681305554727,71242,2024-02-08,Books,188.66,PayPal
155736393037,11864,2024-01-20,Electronics,246.26,UPI
651747641521,13881,2024-11-16,Electronics,378.61,PayPal
248634645785,11675,2024-01-08,Clothing,26.35,Credit Card
248283034186,23032,2024-09-10,Clothing,79.7,Debit Card
797484467140,87277,2024-12-06,Electronics,402.45,Credit Card
